minor_name,minor_reqs
Logic (Minor),"Requirement 1 — Complete 1 of 2 Courses
MATH 290 - Fundamentals of Mathematics 3.0
PHIL 205 - Intro to Logic/Crit Thinking 3.0
Requirement 2 — Complete 2 Courses
PHIL 305 - Intermediate Formal Logic 3.0
PHIL 405 - Advanced Logic and Metalogic 3.0
Requirement 3 — Complete 1 of 4 Courses
MATH 341 - Theory of Analysis 1 3.0
MATH 371 - Abstract Algebra 1 3.0
PHIL 420 - Philosophy of Language 3.0
PHIL 421 - Metaphysics 3.0
Requirement 4 — Complete 3 hours
PHIL 110 - Introduction to Philosophy 3.0
PHIL 120 - History of Philosophy 1 3.0
PHIL 140 - History of Philosophy 2 3.0
PHIL 201 - History of Philosophy 1 3.0
PHIL 202 - History of Philosophy 2 3.0
PHIL 205 - Intro to Logic/Crit Thinking 3.0
PHIL 210 - Science & Civilization 1 3.0
PHIL 211 - Science & Civilization 2 3.0
PHIL 212R - Intro to Applied Ethics - You may take once 3.0
PHIL 213 - Introduction to Ethics 3.0
PHIL 214 - Intro to the Philosophy of Art 3.0
PHIL 215R - Intro Philosophy of Religion - You may take once 3.0
PHIL 217R - Social & Political Philosophy - You may take once 3.0
PHIL 220 - Intro to Theoretical Phil 3.0
PHIL 249R - Philosophical Lecture Series - You may take once 1.0
PHIL 300 - Philosophical Writing 3.0
PHIL 313R - History of Ethics - You may take once 3.0
PHIL 320R - Studies in Ancient Philosophy - You may take once 3.0
PHIL 330R - Studies in Medieval Philosophy - You may take once 3.0
PHIL 340R - Studies in Modern Philosophy - You may take once 3.0
PHIL 350R - Studies in Contemporary Phil - You may take once 3.0
PHIL 360R - Non-Western Philosophy - You may take once 3.0
PHIL 370R - Women and Philosophy - You may take once 3.0
PHIL 413R - Topics in Ethics - You may take once 3.0
PHIL 414R - Philosophy of Art - You may take once 3.0
PHIL 415 - Philosophy of Religion 3.0
PHIL 416 - Philosophy of Law 3.0
PHIL 420 - Philosophy of Language 3.0
PHIL 421 - Metaphysics 3.0
PHIL 422 - Epistemology 3.0
PHIL 423R - History&Philosophy of Science - You may take once 3.0
PHIL 424 - Philosophy of Mind 3.0
PHIL 495R - Directed Readings - You may take once 1.0v
PHIL 501R - Graduate Seminar - You may take once 0.5v
No more than 6 hours may double-count for the philosophy major and the logic minor."
Manufacturing (Minor),"Requirement 1 — Complete 3 Courses
MFGEN 130 - Modern Manufacturing 3.0
MFGEN 340 - Quality Systems 3.0
MFGEN 381 - Lean Mfg & Sys Des 3.0
Requirement 2 — Complete 2 of 4 Courses
MFGEN 220 - Material Removal 3.0
MFGEN 230 - Computer-Aided Manufacturing 3.0
MFGEN 331 - Metals Processes 4.0
MFGEN 355 - Plastics Materials &Processing 3.0"
Mathematics (Minor),"Grades of C- or below will not be accepted.
Substitutions require the approval of the Undergraduate Coordinator of the Department of Mathematics.
Requirement 1 — Complete 3 Courses
MATH 112 - Calculus 1 4.0
MATH 113 - Calculus 2 4.0
MATH 290 - Fundamentals of Mathematics 3.0
Requirement 2 — Complete 1 Course
MATH 213 - Elementary Linear Algebra 2.0
Requirement 3 — Complete 1 of 2 Courses
MATH 302 - Math for Engr 1 4.0
MATH 314 - Calculus of Several Variables 3.0
Requirement 4 — Complete 4 hours
MATH 215 - Computational Linear Algebra 1.0
MATH 303 - Math for Engineering 2 4.0
MATH 334 - Ordinary Differential Equation 3.0
MATH 341 - Theory of Analysis 1 3.0
MATH 342 - Theory of Analysis 2 3.0
MATH 350 - Combinatorics & Graph Theory 3.0
MATH 352 - Intro to Complex Analysis 3.0
MATH 362 - Survey of Geometry 3.0
MATH 371 - Abstract Algebra 1 3.0
MATH 372 - Abstract Algebra 2 3.0
MATH 380 - Mathematics of Data Science 3.0
MATH 406R - Topics in Mathematics - You may take once 3.0
MATH 410 - Intro to Numerical Methods 3.0
MATH 411 - Numerical Methods 3.0
MATH 413 - Advanced Linear Algebra 3.0
MATH 425 - Mathematical Biology 3.0
MATH 431 - Probability Theory 3.0
MATH 435 - Mathematical Finance 3.0
MATH 447 - Intro Partial Differential Eqs 3.0
MATH 451 - Introduction to Topology 3.0
MATH 465 - Differential Geometry 3.0
MATH 473 - Group Representation Theory 3.0
MATH 485 - Mathematical Cryptography 3.0
MATH 487 - Number Theory 3.0
MATH 495R - Readings in Math - You may take once 0.5v
MATH 510 - Num Methods for Linear Algebra 3.0
MATH 511 - Num Methods for Partial Diff 3.0
MATH 513R - Adv Topics in Applied Math - You may take once 3.0
MATH 521 - Classical Applied Mathematics 3.0
MATH 522 - Mathematics of Deep Learning 3.0.
MATH 525 - Network Theory 3.0
MATH 532 - Complex Analysis 3.0
MATH 534 - Intro to Dynamical Systems 1 3.0
MATH 536 - Applied Discrete Probability 3.0
MATH 540 - Linear Analysis 3.0
MATH 541 - Real Analysis 3.0
MATH 547 - Modeling and Analysis of PDEs 3.0
MATH 553 - Foundations of Topology 1 3.0
MATH 554 - Foundations of Topology 2 3.0
MATH 561 - Intro to Algebraic Geometry 1 3.0
MATH 562 - Intro to Algebraic Geometry 2 3.0
MATH 565 - Differential Geometry 3.0
MATH 570 - Matrix Analysis 3.0
MATH 571 - Algebra 1 3.0
MATH 572 - Algebra 2 3.0
MATH 586 - Intro Algebraic Number Theory 3.0
MATH 587 - Intro to Analytic Number Thry 3.0"
Mathematics Education (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach mathematics in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into their major program to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 12 Courses
MATH 112 - Calculus 1 4.0
MATH 113 - Calculus 2 4.0
MATH 213 - Elementary Linear Algebra 2.0
MATH 215 - Computational Linear Algebra 1.0
MTHED 177 - Critical Review of School Math 3.0
MTHED 277 - Task Design for Learning 3.0
MTHED 278 - Assessment of Learning 3.0
MTHED 301 - Teaching Stats & Probability 3.0
MTHED 308 - Teaching with Tech 3.0
MTHED 377 - Math Tchng in Public Schools 3.0
MTHED 378 - Practicum in Math Education 1.0
STAT 121 - Intro to Stat Data Analysis 3.0
Requirement 2 — Complete 1 Course
MTHED 477R - Sec Minor Student Teaching - You may take once 4.0"
Media Arts Studies (Minor) *,"Requirement 1 — Complete 1 Requirement
Complete the following with a B grade or better:
Requirement 1.1 — Complete 2 Courses
TMA 102 - Introduction to Film 3.0
TMA 187 - Production Mgt: Beginning 3.0
Be admitted to the minor program by application (see department office, D-581 HFAC).
Requirement 2 — Complete 1 Requirement
Upon acceptance into the minor program, complete the following:
Requirement 2.1 — Complete 3 Courses
TMA 105 - Using Basic Media Tools 1.0
TMA 114 - Reading&Cnstrctng Narratives 3.0
TMA 185 - Basic Media Production 3.0
Requirement 3 — Complete 1 of 3 Courses
TMA 291 - Media Arts History 1 3.0
TMA 292 - Media Arts History 2 3.0
TMA 293 - Hist of Documntry&Nonfic Film 3.0
Requirement 4 — Complete 3 hours
Advanced critical studies courses:
TMA 458 - Media Literacy Education 3.0
TMA 477R - Issues in Media Arts - You may take once 3.0
TMA 492R - Media Arts Genres - You may take once 3.0
TMA 494 - Transcendence: Religion & Film 3.0
TMA 497 - Media as a Mirror of Our Times 3.0
TMA 498R - Spec Topics in Media Arts - You may take once 3.0
Requirement 5 — Complete 1 Requirement
Electives:
Requirement 5.1 — Complete 2 hours
TMA 274 - Nonfiction Production 1 - This course is no longer available for registration and will count only if you completed it while it was offered. Please see your college advisement center for possible substitutions. 3.0
TMA 277 - New Media Conceptualization 3.0
TMA 293 - Hist of Documntry&Nonfic Film 3.0
TMA 295 - Contemporary Screens 3.0
TMA 303R - Internatnl St Film & Culture - You may take once 3.0
TMA 370R - Practicum: Television - You may take once 1.0v
TMA 384R - Practicum: Cinematic Skills - You may take 2 times 1.0v
TMA 387 - Production Mgt: Advanced 3.0
TMA 391 - Intro to Media Arts Theory 3.0
TMA 392 - Children's Media 3.0
TMA 458 - Media Literacy Education 3.0
TMA 477R - Issues in Media Arts - You may take once 3.0
TMA 492R - Media Arts Genres - You may take once 3.0
TMA 494 - Transcendence: Religion & Film 3.0
TMA 497 - Media as a Mirror of Our Times 3.0
TMA 498R - Spec Topics in Media Arts - You may take once 3.0
Note: Courses without an R in the course number may not be used to fulfill this requirement if taken to fill requirements in item 3 or 4 above."
Microbiology (Minor),"Note: Prerequisites for the following courses are required. They should be filled for students in a coupled major.
Requirement 1 — Complete 3 Courses
MMBIO 151 - Microbiology 4.0
MMBIO 240 - Molecular Biology 3.0
MMBIO 261 - Infection & Immunity 3.0
Requirement 2 — Complete 2 of 7 Courses
Upper Level Courses:
MMBIO 360 - Microbial Genetics 4.0
MMBIO 363 - Microbial Ecology 2.0
MMBIO 364 - Bacterial Pathogenesis 3.0
MMBIO 418 - Medical Parasitology 2.0
MMBIO 461 - Advanced Bacterial Physiology 3.0
MMBIO 463 - Immunology 3.0
MMBIO 465 - Virology 3.0
Requirement 3 — Complete 1 of 5 Courses
Upper Level Lab Course: (NOTE: Taking MMBIO 360 for Requirement 2 also fulfills Requirement 3. See advisement center.)
MMBIO 365 - Bacterial Pathogenesis Lab 1.0
MMBIO 366 - Microbial Ecology Lab 1.0
MMBIO 420 - Molecular Parasitology Lab - This course is no longer available for registration and will count only if you completed it while it was offered. Please see your college advisement center for possible substitutions. 2.0
MMBIO 466 - Virology Laboratory 1.0
MMBIO 467 - Immunology Lab 1.0"
Middle East Studies (Minor),"Requirement 1 — Obtain confirmation from your advisement center that you have completed the following:
Complete 8 hours of introductory (101/102 level) Arabic, modern Hebrew, Persian, or Turkish (or equivalent).
Requirement 2 — Complete 1 of 4 Courses
Complete the following language requirement:
ARAB 201 - 2nd-Year Arabic 4.0
HEB 201 - 2nd-Year Modern Hebrew 1 4.0
PERSI 201 - Second-Year Persian 4.0
TURK 201 - Second-Year Turkish 4.0
Requirement 3 — Complete 1 Course
MESA 201 - Intro to Middle East Studies 3.0
Requirement 4 — Complete 9 hours
ANTHR 340 - Peoples of the Middle East 3.0
GEOG 271 - Middle East 3.0
HIST 240 - M E Hist to 1800 3.0
HIST 241 - M E Hist from 1800 3.0
IHUM 242 - Intro to Humanities of Islam 3.0
MESA 250 - Intro to Religion of Islam 3.0
MESA 350 - Islam in Contemporary Society 3.0
POLI 357 - Middle East Politics 3.0
POLI 381 - Intrntl Relatns of Middle East 3.0
POLI 452 - Islam and Politics 3.0
POLI 474 - Arab-Palestn-Israeli Conflct 3.0"
Military Science (Minor),"Requirement 1 — Complete 4 Courses
MIL S 320 - Adaptive Team Leadership 4.0
MIL S 321 - Ldrshp in Changing Environmnts 4.0
MIL S 420 - Developing Adaptive Leaders 4.0
MIL S 421 - Leadership in Complex World 4.0
Requirement 2 — Complete 1 Course
HIST 220 - U S Through 1877 3.0
HIST 221 - U S Since 1877 3.0
HIST 293 - WW II in History & Memory 3.0
HIST 371- Revolutionary Amer 3.0
HIST 373 - Civil War Era 3.0
HIST 374 - US Hist, 1890-1945 3.0
HIST 376 - US Hist, 1945-2000 3.0
HIST 391 - The Vietnam War 3.0"
Modern Hebrew (Minor),"Requirement 1 — Complete 2 Courses
Prerequisite courses:
HEB 101 - 1st-Year Modern Hebrew 1 4.0
HEB 102 - 1st-Year Modern Hebrew 2 4.0
Requirement 2 — Complete 5 Courses
HEB 131 - 1st-Year Biblical Hebrew 4.0
HEB 201 - 2nd-Year Modern Hebrew 1 4.0
HEB 202 - 2nd-Year Modern Hebrew 2 4.0
HEB 301 - 3rd-Year Modern Hebrew 1 4.0
HEB 311R - Intermediate Conversation - You may take once 1.0v
Requirement 3 — Complete 4 hours
HEB 132 - 1st-Year Biblical Hebrew 4.0
HEB 211R - Hebrew Conversation - You may take once 2.0
HEB 302 - 3rd-Year Modern Hebrew 2 4.0
HEB 312 - Hebrew Media 2.0v
HEB 314R - Int. Hebrew Lang. Jerusalem - You may take once 1.0v
HEB 341R - Studies in Hebrew Culture - You may take once 2.0v
HEB 346R - Israeli & Jewish Civ. - You may take once 1.0v
HEB 411R - Advanced Conversation - You may take once 1.0v"
Molecular Biology (Minor),"Requirement 1 — Complete 4 Courses
MMBIO 240 - Molecular Biology 3.0
MMBIO 441 - Adv Molecular Biology 3.0
MMBIO 368 - Genomics 3.0
PWS 340 - Genetics 3.0
Requirement 2 — Complete 6 hours
BIO 165 - Introduction to Bioinformatics 3.0
BIO 420 - Evolutionary Biology 4.0
BIO 463 - Genetics of Human Disease 3.0
BIO 465 - Capstone in Bioinformatics 3.0
CELL 360 - Cell Biology 3.0
MMBIO 360 - Microbial Genetics 4.0
MMBIO 442 - Adv Molecular Biology Lab 2.0
Note: Be aware of prerequisites for the above courses (usually filled in a coupled major)."
Music (Minor),"The School of Music requires a minimum of 10 hours of music credit to be taken in residence at BYU's Provo campus for this minor program. These hours may also go toward BYU's 30-hour residency requirement for graduation.
Requirement 1 — Complete 2 Courses
Intro to Western European music courses:
MUSIC 100 - Music Fundamentals 2.0
MUSIC 101 - Introduction to Music 3.0
Requirement 2 — Complete 1 of 2 Courses
Surveys of Western European culture and arts courses:
MUSIC 201 - Civilization: Music 1 3.0
MUSIC 202 - Civilization: Music 2 3.0
Requirement 3 — Complete 1 of 2 Courses
Music in/as culture courses:
MUSIC 203 - World Music Cultures 3.0
MUSIC 204 - Introduction to Jazz 3.0
Requirement 4 — Complete 1 Course
Conducting course:
MUSIC 135 - Basic Conducting 2.0
Requirement 5 — Complete 4 hours
Applied lessons:
MUSIC 160R - Performance Instruction - You may take up to 4.0 credit hours 0.5v
Requirement 6 — Complete 4 hours
Performance ensemble courses:
MUSIC 311R - University Chorale - You may take up to 4.0 credit hours 1.0
MUSIC 312R - Men's Chorus - You may take up to 4.0 credit hours 1.0
MUSIC 313R - Women's Chorus - You may take up to 4.0 credit hours 1.0
MUSIC 314R - Concert Choir - You may take up to 4.0 credit hours 1.0
MUSIC 315R - University Singers - You may take up to 4.0 credit hours 1.0
MUSIC 316R - Opera Workshop - You may take up to 4.0 credit hours 1.0
MUSIC 317R - Opera Ensemble - You may take up to 4.0 credit hours 0.5v
MUSIC 321R - University Orchestra - You may take up to 4.0 credit hours 1.0
MUSIC 322R - University Band - You may take up to 4.0 credit hours 1.0
MUSIC 323R - Marching Band - You may take up to 4.0 credit hours 1.0
MUSIC 324R - Cougar Band - You may take up to 4.0 credit hours 1.0
MUSIC 325R - Symphonic Band - You may take up to 4.0 credit hours 1.0
MUSIC 326R - Wind Symphony - You may take up to 4.0 credit hours 1.0
MUSIC 329R - Folk Ensemble - You may take up to 4.0 credit hours 1.0
MUSIC 330R - Steel Band - You may take up to 4.0 credit hours 1.0
MUSIC 331R - Jazz Combos - You may take up to 4.0 credit hours 1.0
MUSIC 332R - YA Show Band - You may take once 1.0
MUSIC 333R - Jazz Ensemble - You may take up to 4.0 credit hours 1.0
MUSIC 334R - Synthesis - You may take up to 4.0 credit hours 1.0
MUSIC 335R - Jazz Legacy Band - You may take once 1.0
MUSIC 336R - Balinese Gamelan - You may take up to 4.0 credit hours 1.0
MUSIC 337R - Symphony Orchestra - You may take up to 4.0 credit hours 1.0
MUSIC 338R - Philharmonic Orchestra - You may take up to 4.0 credit hours 1.0
MUSIC 339R - Chamber Orchestra - You may take up to 4.0 credit hours 1.0
MUSIC 340R - Harp Ensemble - You may take up to 4.0 credit hours 1.0
MUSIC 341R - Brass Chamber Music - You may take up to 4.0 credit hours 1.0
MUSIC 342R - Early Music Ensemble - You may take once 1.0
MUSIC 343R - Guitar Ensemble - You may take up to 4.0 credit hours 1.0
MUSIC 345R - Percussion Ensemble - You may take up to 4.0 credit hours 1.0
MUSIC 346R - String Chamber Music - You may take up to 4.0 credit hours 1.0
MUSIC 348R - Woodwind Chamber Music - You may take up to 4.0 credit hours 1.0
MUSIC 441R - New Music Ensemble - You may take up to 4.0 credit hours 1.0"
Nutritional Science (Minor),"Requirement 1 — Complete 2 Courses
NDFS 100 - Essentials of Human Nutrition 3.0
NDFS 200 - Nutrient Metabolism 3.0
Requirement 2 — Complete 10 hours
After consulting with a faculty advisor,
NDFS 201 - Society Nutr Chronic Disease 3.0
NDFS 305 - Nutr Implications of Disease 4.0
NDFS 310 - Nutr & Metab Sports Exercise 3.0
NDFS 333 - Nutrition and Genes 3.0
NDFS 380 - International Nutrition 3.0
NDFS 399R - Academic Internship - You may take up to 1.0 credit hours 0.5v
NDFS 400 - Community Nutrition 3.0
NDFS 410 - Human Obesity 3.0
NDFS 424 - Nutrition Through Life Cycle 2.0
NDFS 434 - Nutr Bio-organic Chemistry 4.0
NDFS 435 - Nutr Biochem & Metabolism 4.0
NDFS 494R - Undergrad Research in N D F S - You may take up to 1.0 credit hours 0.5v"
PE Teaching/Coaching (Minor),"This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 10 Courses
NDFS 100 - Essentials of Human Nutrition 3.0
PETE 227 - Fitness for Life 1.0
PETE 230 - K-12 Act Cont & Skls 1 3.0
PETE 276R - Exploration of Teaching - You may take once 3.0
PETE 300 - Advocacy for Physical Educ 2.0
PETE 301 - K-12 Hlthy & Active Life Mgmt 2.0
PETE 330R - Coaching Selected Sports - You may take once 2.0
PETE 364 - Sci Bases of Sport: Motor L 2.0
PETE 366 - Ex Phys Physical Educators 2.0
PETE 430 - Principles of Coaching 2.0
Requirement 2 — Complete 0.5 hours
SWELL 108 - Zumba 0.5
SWELL 109 - Yoga 0.5
SWELL 110 - Indoor Cycling 0.5
SWELL 111 - Basketball, Beginning 0.5
SWELL 131 - Golf, Beginning 0.5
SWELL 141 - Martial Arts 0.5
SWELL 171 - Swimming, Beginning 0.5
SWELL 186 - Volleyball, Beginning 0.5
SWELL 191 - Weight Training, Beginning 0.5
Requirement 3 — Complete 1 hour
PETE 399R - Academic Internship: Coaching - You may take up to 1.0 credit hours 1.0v
Requirement 4 — Complete 1 Course
PETE 477R - Sec Minor Student Teaching - You may take once 4.0"
